deployment_id,species,week,n_images
SUN_PRAIRIE_100_R4,White-tailed deer,39,0
SUN_PRAIRIE_101_R1,American bison,20,20
SUN_PRAIRIE_101_R1,Coyote,20,0
SUN_PRAIRIE_101_R1,Mule deer,20,0
SUN_PRAIRIE_101_R1,Pronghorn,20,0
SUN_PRAIRIE_101_R1,White-tailed deer,20,0
SUN_PRAIRIE_101_R1,American bison,21,60
SUN_PRAIRIE_101_R1,Coyote,21,0
SUN_PRAIRIE_101_R1,Mule deer,21,725
SUN_PRAIRIE_101_R1,Pronghorn,21,0
SUN_PRAIRIE_101_R1,White-tailed deer,21,0
SUN_PRAIRIE_101_R1,American bison,22,62
SUN_PRAIRIE_101_R1,Coyote,22,0
SUN_PRAIRIE_101_R1,Mule deer,22,0
SUN_PRAIRIE_101_R1,Pronghorn,22,0
SUN_PRAIRIE_101_R1,White-tailed deer,22,0
SUN_PRAIRIE_101_R1,American bison,23,188
SUN_PRAIRIE_101_R1,Coyote,23,0
SUN_PRAIRIE_101_R1,Mule deer,23,8
SUN_PRAIRIE_101_R1,Pronghorn,23,2
SUN_PRAIRIE_101_R1,White-tailed deer,23,0
SUN_PRAIRIE_101_R1,American bison,24,1046
SUN_PRAIRIE_101_R1,Coyote,24,7
SUN_PRAIRIE_101_R1,Mule deer,24,3
SUN_PRAIRIE_101_R1,Pronghorn,24,0
SUN_PRAIRIE_101_R1,White-tailed deer,24,0
SUN_PRAIRIE_101_R1,American bison,25,0
SUN_PRAIRIE_101_R1,Coyote,25,0
SUN_PRAIRIE_101_R1,Mule deer,25,0
SUN_PRAIRIE_101_R1,Pronghorn,25,0
SUN_PRAIRIE_101_R1,White-tailed deer,25,0
SUN_PRAIRIE_101_R3,American bison,31,1
SUN_PRAIRIE_101_R3,Coyote,31,0
SUN_PRAIRIE_101_R3,Mule deer,31,10
SUN_PRAIRIE_101_R3,Pronghorn,31,6
SUN_PRAIRIE_101_R3,White-tailed deer,31,0
SUN_PRAIRIE_101_R3,American bison,32,0
SUN_PRAIRIE_101_R3,Coyote,32,0
SUN_PRAIRIE_101_R3,Mule deer,32,1
SUN_PRAIRIE_101_R3,Pronghorn,32,0
SUN_PRAIRIE_101_R3,White-tailed deer,32,0
SUN_PRAIRIE_101_R3,American bison,33,0
SUN_PRAIRIE_101_R3,Coyote,33,0
SUN_PRAIRIE_101_R3,Mule deer,33,0
SUN_PRAIRIE_101_R3,Pronghorn,33,0
SUN_PRAIRIE_101_R3,White-tailed deer,33,0
SUN_PRAIRIE_101_R3,American bison,34,31
SUN_PRAIRIE_101_R3,Coyote,34,0
SUN_PRAIRIE_101_R3,Mule deer,34,0
SUN_PRAIRIE_101_R3,Pronghorn,34,5
SUN_PRAIRIE_101_R3,White-tailed deer,34,0
SUN_PRAIRIE_101_R4,American bison,34,15
SUN_PRAIRIE_101_R4,Coyote,34,0
SUN_PRAIRIE_101_R4,Mule deer,34,0
SUN_PRAIRIE_101_R4,Pronghorn,34,0
SUN_PRAIRIE_101_R4,White-tailed deer,34,0
SUN_PRAIRIE_101_R4,American bison,35,284
SUN_PRAIRIE_101_R4,Coyote,35,0
SUN_PRAIRIE_101_R4,Mule deer,35,0
SUN_PRAIRIE_101_R4,Pronghorn,35,10
SUN_PRAIRIE_101_R4,White-tailed deer,35,0
SUN_PRAIRIE_101_R4,American bison,36,77
SUN_PRAIRIE_101_R4,Coyote,36,0
SUN_PRAIRIE_101_R4,Mule deer,36,0
SUN_PRAIRIE_101_R4,Pronghorn,36,0
SUN_PRAIRIE_101_R4,White-tailed deer,36,0
SUN_PRAIRIE_101_R4,American bison,37,0
SUN_PRAIRIE_101_R4,Coyote,37,0
SUN_PRAIRIE_101_R4,Mule deer,37,0
SUN_PRAIRIE_101_R4,Pronghorn,37,0
SUN_PRAIRIE_101_R4,White-tailed deer,37,0
SUN_PRAIRIE_101_R4,American bison,38,0
SUN_PRAIRIE_101_R4,Coyote,38,0
SUN_PRAIRIE_101_R4,Mule deer,38,0
SUN_PRAIRIE_101_R4,Pronghorn,38,0
SUN_PRAIRIE_101_R4,White-tailed deer,38,0
SUN_PRAIRIE_101_R4,American bison,39,0
SUN_PRAIRIE_101_R4,Coyote,39,0
SUN_PRAIRIE_101_R4,Mule deer,39,0
SUN_PRAIRIE_101_R4,Pronghorn,39,0
SUN_PRAIRIE_101_R4,White-tailed deer,39,0
SUN_PRAIRIE_101_R5,American bison,39,264
SUN_PRAIRIE_101_R5,Coyote,39,0
SUN_PRAIRIE_101_R5,Mule deer,39,0
SUN_PRAIRIE_101_R5,Pronghorn,39,0
SUN_PRAIRIE_101_R5,White-tailed deer,39,0
SUN_PRAIRIE_101_R5,American bison,40,0
SUN_PRAIRIE_101_R5,Coyote,40,0
SUN_PRAIRIE_101_R5,Mule deer,40,0
SUN_PRAIRIE_101_R5,Pronghorn,40,0
SUN_PRAIRIE_101_R5,White-tailed deer,40,0
SUN_PRAIRIE_101_R5,American bison,41,0
SUN_PRAIRIE_101_R5,Coyote,41,0
