deployment_id,species,time_in_fov_s,image_time_s,duration_days
SUN_PRAIRIE_105_R5,Pronghorn,0,0,19.18077546
SUN_PRAIRIE_105_R5,White-tailed deer,0,0,19.18077546
SUN_PRAIRIE_106_R1,American bison,78.33318607328795,78,29.97859954
SUN_PRAIRIE_106_R1,Coyote,0,0,29.97859954
SUN_PRAIRIE_106_R1,Mule deer,0,0,29.97859954
SUN_PRAIRIE_106_R1,Pronghorn,0,0,29.97859954
SUN_PRAIRIE_106_R1,White-tailed deer,50.39163476372779,52,29.97859954
SUN_PRAIRIE_106_R2,American bison,0,0,26.48346065
SUN_PRAIRIE_106_R2,Coyote,0,0,26.48346065
SUN_PRAIRIE_106_R2,Mule deer,0,0,26.48346065
SUN_PRAIRIE_106_R2,Pronghorn,0,0,26.48346065
SUN_PRAIRIE_106_R2,White-tailed deer,0,0,26.48346065
SUN_PRAIRIE_106_R3,American bison,0,0,0.850914352
SUN_PRAIRIE_106_R3,Coyote,0,0,0.850914352
SUN_PRAIRIE_106_R3,Mule deer,0,0,0.850914352
SUN_PRAIRIE_106_R3,Pronghorn,0,0,0.850914352
SUN_PRAIRIE_106_R3,White-tailed deer,0,0,0.850914352
SUN_PRAIRIE_106_R4,American bison,921.0079005286344,1412,12.5965625
SUN_PRAIRIE_106_R4,Coyote,0,0,12.5965625
SUN_PRAIRIE_106_R4,Mule deer,0,0,12.5965625
SUN_PRAIRIE_106_R4,Pronghorn,0,0,12.5965625
SUN_PRAIRIE_106_R4,White-tailed deer,0,0,12.5965625
SUN_PRAIRIE_106_R5,American bison,68.33162795354426,72,19.16335648
SUN_PRAIRIE_106_R5,Coyote,0,0,19.16335648
SUN_PRAIRIE_106_R5,Mule deer,0,0,19.16335648
SUN_PRAIRIE_106_R5,Pronghorn,0,0,19.16335648
SUN_PRAIRIE_106_R5,White-tailed deer,0,0,19.16335648
SUN_PRAIRIE_107_R1,American bison,0,0,15.70215278
SUN_PRAIRIE_107_R1,Coyote,0,0,15.70215278
SUN_PRAIRIE_107_R1,Mule deer,85.58202411399343,64,15.70215278
SUN_PRAIRIE_107_R1,Pronghorn,0,0,15.70215278
SUN_PRAIRIE_107_R1,White-tailed deer,0,0,15.70215278
SUN_PRAIRIE_107_R2,American bison,0,0,37.87224537
SUN_PRAIRIE_107_R2,Coyote,0,0,37.87224537
SUN_PRAIRIE_107_R2,Mule deer,0,0,37.87224537
SUN_PRAIRIE_107_R2,Pronghorn,0,0,37.87224537
SUN_PRAIRIE_107_R2,White-tailed deer,0,0,37.87224537
SUN_PRAIRIE_107_R3,American bison,0,0,25.25414352
SUN_PRAIRIE_107_R3,Coyote,0,0,25.25414352
