deployment,species,mean_density_km2,mean_density_image_time_km2
SUN_PRAIRIE_47,Coyote,0.05998441956472873,0.07287670370676307
SUN_PRAIRIE_47,Mule deer,0.15260770363721235,0.24307052519882236
SUN_PRAIRIE_47,Pronghorn,0,0
SUN_PRAIRIE_47,White-tailed deer,0,0
SUN_PRAIRIE_48,American bison,27.19609807790838,32.83946050206456
SUN_PRAIRIE_48,Coyote,0.06577273961373883,0.09312773152093096
SUN_PRAIRIE_48,Mule deer,0.04105956428872963,0.0900234738035666
SUN_PRAIRIE_48,Pronghorn,0,0
SUN_PRAIRIE_48,White-tailed deer,0,0
SUN_PRAIRIE_49,American bison,2.1290136213306017,1.7357189320032922
SUN_PRAIRIE_49,Coyote,0.07137995143172912,0.0577946181349044
SUN_PRAIRIE_49,Mule deer,0.15798214664849275,0.23621422489349553
SUN_PRAIRIE_49,Pronghorn,0.02753382716063797,0.05541722243862449
SUN_PRAIRIE_49,White-tailed deer,0,0
SUN_PRAIRIE_50,American bison,64.45271426218247,69.35505703012912
SUN_PRAIRIE_50,Coyote,0,0
SUN_PRAIRIE_50,Mule deer,0.03844525858154165,0.04322433676743072
SUN_PRAIRIE_50,Pronghorn,0,0
SUN_PRAIRIE_50,White-tailed deer,0,0
SUN_PRAIRIE_52,American bison,0.01668895301080854,0.016877682097640765
SUN_PRAIRIE_52,Coyote,0,0
SUN_PRAIRIE_52,Mule deer,0.5682200011379864,0.49613275804270474
SUN_PRAIRIE_52,Pronghorn,0,0
SUN_PRAIRIE_52,White-tailed deer,0,0
SUN_PRAIRIE_53,American bison,0.564687740865925,0.2226704456035948
SUN_PRAIRIE_53,Coyote,0.12259324212687941,0.05744547279700509
SUN_PRAIRIE_53,Mule deer,1.1646699874766688,1.2513805757053917
SUN_PRAIRIE_53,Pronghorn,0.33672747601029096,0.25700836573246905
SUN_PRAIRIE_53,White-tailed deer,0,0
SUN_PRAIRIE_54,American bison,4.350473695025499,3.6812431807219856
