deployment_id,species,week,time_in_fov_s,image_time_s,duration_days,distance,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_100_R1,Mule deer,20,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Mule deer,21,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Mule deer,22,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Mule deer,23,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Mule deer,24,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Mule deer,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,20,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,21,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,22,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,23,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,24,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,Pronghorn,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,20,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,21,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,22,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,23,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,24,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R1,White-tailed deer,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,25,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,26,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,27,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,28,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,29,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,American bison,30,0,0,7,12,3.3162652051293855,0,0
SUN_PRAIRIE_100_R2,Coyote,25,0,0,7,12,3.3162652051293855,0,0
