deployment_id,species,yday,n_images
SUN_PRAIRIE_10_R2,American bison,202,0
SUN_PRAIRIE_10_R2,Coyote,202,0
SUN_PRAIRIE_10_R2,Mule deer,202,0
SUN_PRAIRIE_10_R2,Pronghorn,202,0
SUN_PRAIRIE_10_R2,White-tailed deer,202,0
SUN_PRAIRIE_10_R2,American bison,203,0
SUN_PRAIRIE_10_R2,Coyote,203,0
SUN_PRAIRIE_10_R2,Mule deer,203,10
SUN_PRAIRIE_10_R2,Pronghorn,203,0
SUN_PRAIRIE_10_R2,White-tailed deer,203,0
SUN_PRAIRIE_10_R2,American bison,204,0
SUN_PRAIRIE_10_R2,Coyote,204,0
SUN_PRAIRIE_10_R2,Mule deer,204,0
SUN_PRAIRIE_10_R2,Pronghorn,204,0
SUN_PRAIRIE_10_R2,White-tailed deer,204,0
SUN_PRAIRIE_10_R3,American bison,204,0
SUN_PRAIRIE_10_R3,Coyote,204,0
SUN_PRAIRIE_10_R3,Mule deer,204,0
SUN_PRAIRIE_10_R3,Pronghorn,204,0
SUN_PRAIRIE_10_R3,White-tailed deer,204,0
SUN_PRAIRIE_10_R3,American bison,205,0
SUN_PRAIRIE_10_R3,Coyote,205,0
SUN_PRAIRIE_10_R3,Mule deer,205,0
SUN_PRAIRIE_10_R3,Pronghorn,205,0
SUN_PRAIRIE_10_R3,White-tailed deer,205,0
SUN_PRAIRIE_10_R3,American bison,206,0
SUN_PRAIRIE_10_R3,Coyote,206,0
SUN_PRAIRIE_10_R3,Mule deer,206,0
SUN_PRAIRIE_10_R3,Pronghorn,206,0
SUN_PRAIRIE_10_R3,White-tailed deer,206,0
SUN_PRAIRIE_10_R3,American bison,207,0
SUN_PRAIRIE_10_R3,Coyote,207,0
SUN_PRAIRIE_10_R3,Mule deer,207,0
SUN_PRAIRIE_10_R3,Pronghorn,207,0
SUN_PRAIRIE_10_R3,White-tailed deer,207,0
SUN_PRAIRIE_10_R3,American bison,208,0
SUN_PRAIRIE_10_R3,Coyote,208,0
SUN_PRAIRIE_10_R3,Mule deer,208,0
SUN_PRAIRIE_10_R3,Pronghorn,208,0
SUN_PRAIRIE_10_R3,White-tailed deer,208,0
SUN_PRAIRIE_10_R3,American bison,209,0
SUN_PRAIRIE_10_R3,Coyote,209,0
SUN_PRAIRIE_10_R3,Mule deer,209,0
SUN_PRAIRIE_10_R3,Pronghorn,209,0
SUN_PRAIRIE_10_R3,White-tailed deer,209,0
SUN_PRAIRIE_10_R3,American bison,210,0
SUN_PRAIRIE_10_R3,Coyote,210,0
SUN_PRAIRIE_10_R3,Mule deer,210,0
SUN_PRAIRIE_10_R3,Pronghorn,210,0
SUN_PRAIRIE_10_R3,White-tailed deer,210,0
SUN_PRAIRIE_10_R3,American bison,211,0
SUN_PRAIRIE_10_R3,Coyote,211,0
SUN_PRAIRIE_10_R3,Mule deer,211,0
SUN_PRAIRIE_10_R3,Pronghorn,211,0
SUN_PRAIRIE_10_R3,White-tailed deer,211,0
SUN_PRAIRIE_10_R3,American bison,212,0
SUN_PRAIRIE_10_R3,Coyote,212,0
SUN_PRAIRIE_10_R3,Mule deer,212,0
SUN_PRAIRIE_10_R3,Pronghorn,212,0
SUN_PRAIRIE_10_R3,White-tailed deer,212,0
SUN_PRAIRIE_10_R3,American bison,213,0
SUN_PRAIRIE_10_R3,Coyote,213,0
SUN_PRAIRIE_10_R3,Mule deer,213,0
SUN_PRAIRIE_10_R3,Pronghorn,213,0
SUN_PRAIRIE_10_R3,White-tailed deer,213,0
SUN_PRAIRIE_10_R3,American bison,214,0
SUN_PRAIRIE_10_R3,Coyote,214,0
SUN_PRAIRIE_10_R3,Mule deer,214,0
SUN_PRAIRIE_10_R3,Pronghorn,214,0
SUN_PRAIRIE_10_R3,White-tailed deer,214,0
SUN_PRAIRIE_10_R3,American bison,215,0
SUN_PRAIRIE_10_R3,Coyote,215,0
SUN_PRAIRIE_10_R3,Mule deer,215,0
SUN_PRAIRIE_10_R3,Pronghorn,215,0
SUN_PRAIRIE_10_R3,White-tailed deer,215,0
SUN_PRAIRIE_10_R3,American bison,216,0
SUN_PRAIRIE_10_R3,Coyote,216,0
SUN_PRAIRIE_10_R3,Mule deer,216,0
SUN_PRAIRIE_10_R3,Pronghorn,216,0
SUN_PRAIRIE_10_R3,White-tailed deer,216,0
SUN_PRAIRIE_10_R3,American bison,217,0
SUN_PRAIRIE_10_R3,Coyote,217,0
SUN_PRAIRIE_10_R3,Mule deer,217,0
SUN_PRAIRIE_10_R3,Pronghorn,217,0
SUN_PRAIRIE_10_R3,White-tailed deer,217,0
SUN_PRAIRIE_10_R3,American bison,218,0
SUN_PRAIRIE_10_R3,Coyote,218,0
SUN_PRAIRIE_10_R3,Mule deer,218,0
SUN_PRAIRIE_10_R3,Pronghorn,218,0
SUN_PRAIRIE_10_R3,White-tailed deer,218,0
SUN_PRAIRIE_10_R3,American bison,219,0
SUN_PRAIRIE_10_R3,Coyote,219,0
SUN_PRAIRIE_10_R3,Mule deer,219,0
SUN_PRAIRIE_10_R3,Pronghorn,219,0
SUN_PRAIRIE_10_R3,White-tailed deer,219,0
SUN_PRAIRIE_10_R3,American bison,220,0
SUN_PRAIRIE_10_R3,Coyote,220,0
SUN_PRAIRIE_10_R3,Mule deer,220,0
SUN_PRAIRIE_10_R3,Pronghorn,220,0
SUN_PRAIRIE_10_R3,White-tailed deer,220,0
SUN_PRAIRIE_10_R3,American bison,221,0
SUN_PRAIRIE_10_R3,Coyote,221,0
SUN_PRAIRIE_10_R3,Mule deer,221,0
SUN_PRAIRIE_10_R3,Pronghorn,221,0
SUN_PRAIRIE_10_R3,White-tailed deer,221,0
SUN_PRAIRIE_10_R3,American bison,222,0
SUN_PRAIRIE_10_R3,Coyote,222,0
SUN_PRAIRIE_10_R3,Mule deer,222,0
SUN_PRAIRIE_10_R3,Pronghorn,222,0
SUN_PRAIRIE_10_R3,White-tailed deer,222,0
SUN_PRAIRIE_10_R3,American bison,223,0
SUN_PRAIRIE_10_R3,Coyote,223,0
