deployment_id,species,time_in_fov_s,image_time_s,duration_days,distance_m,effort,density_km2,density_image_time_km2
SUN_PRAIRIE_19_R2,American bison,0,0,32.46592593,14,20.93498176660467,0,0
SUN_PRAIRIE_23_R1,American bison,0,0,25.87056713,10,8.51127595339117,0,0
SUN_PRAIRIE_23_R2,American bison,0,0,22.97302083,14,14.81367798463031,0,0
SUN_PRAIRIE_24_R1,American bison,180.05225844559192,124,15.20685185,3,0.45026744347957526,46.282230852609715,31.87406076029761
SUN_PRAIRIE_24_R2,American bison,0,0,21.83200231,14,14.077915759241712,0,0
SUN_PRAIRIE_25_R1,American bison,62.055522740696986,68,15.17244213,6,1.7969943540199353,3.996869635675256,4.379741290095928
SUN_PRAIRIE_26_R1,American bison,12.111045481393976,16,20.99165509,20,27.624561655969906,0.05074257440238555,0.06703642486401772
SUN_PRAIRIE_26_R2,American bison,0,0,6.541770833,14,4.218325804273812,0,0
SUN_PRAIRIE_27_R1,American bison,612.115960326836,336,29.30572917,11,11.66612496512636,6.072860943907307,3.3334881123886255
SUN_PRAIRIE_27_R2,American bison,0,0,35.95834491,14,23.18699601148668,0,0
SUN_PRAIRIE_28_R1,American bison,150.15209096278795,116,31.18527778,14,20.109182258298887,0.8642178487706588,0.6676515113082313
SUN_PRAIRIE_28_R2,American bison,0,0,26.06422454,14,16.80697684957695,0,0
SUN_PRAIRIE_30_R1,American bison,0,0,25.0290162,8,5.2700225741383955,0,0
SUN_PRAIRIE_30_R2,American bison,0,0,14.75215278,14,9.512621020985199,0,0
SUN_PRAIRIE_31_R1,American bison,0,0,25.95986111,3,0.7686587868668259,0,0
SUN_PRAIRIE_31_R2,American bison,0,0,19.17137731,14,12.362266682025556,0,0
SUN_PRAIRIE_32_R1,American bison,5.055522740696988,6,2.119652778,10,0.6973542415314725,0.8390713241449776,0.9958273759393248
SUN_PRAIRIE_32_R2,American bison,0,0,11.40952546,14,7.357196834173636,0,0
SUN_PRAIRIE_33_R1,American bison,0,0,21.53935185,14,13.88920615467666,0,0
SUN_PRAIRIE_33_R2,American bison,0,0,10.57048611,14,6.816159639313202,0,0
SUN_PRAIRIE_34_R1,American bison,493.22313644418193,450,25.81501157,21,37.45412327982653,1.5241582545136925,1.390590107909063
SUN_PRAIRIE_34_R2,American bison,0,0,33.60115741,14,21.667012338778026,0,0
SUN_PRAIRIE_38_R1,American bison,0,0,28.2328125,4,1.4861506942332061,0,0
SUN_PRAIRIE_38_R2,American bison,0,0,35.80444444,14,23.087756472153387,0,0
SUN_PRAIRIE_39_R1,American bison,0,0,23.4516088,11,9.335696692854444,0,0
SUN_PRAIRIE_39_R2,American bison,0,0,38.34163194,14,24.72380942704157,0,0
SUN_PRAIRIE_45_R1,American bison,0,0,10.4516088,3.5,0.42121900383237615,0,0
SUN_PRAIRIE_45_R2,American bison,0,0,35.86818287,14,23.128856882249778,0,0
SUN_PRAIRIE_46_R1,American bison,53.885522740696985,62,12.38568287,3,0.36673401021025065,17.00619561745783,19.567113292306672
SUN_PRAIRIE_46_R2,American bison,0,0,35.86664352,14,23.127864264196873,0,0
SUN_PRAIRIE_47_R1,American bison,520.0444930609195,224,25.67664352,15,19.0068213147069,3.1667754354296154,1.3640327068190634
SUN_PRAIRIE_47_R2,American bison,0,0,23.48094907,14,15.14120501916093,0,0
SUN_PRAIRIE_48_R1,American bison,729.5700051338385,214,0.811759259,12,0.3845727122233305,219.57089032198317,64.40529380081146
SUN_PRAIRIE_48_R2,American bison,0,0,24.43795139,14,15.758308198752836,0,0
SUN_PRAIRIE_49_R1,American bison,293.35414989714235,232,13.21960648,22,21.050024763533184,1.6129684876801367,1.2756209151055102
SUN_PRAIRIE_49_R2,American bison,0,0,9.984456019,14,6.43827023932446,0,0
SUN_PRAIRIE_50_R1,American bison,262.095522740697,226,0.449409722,8,0.09462614755018858,320.5787272566554,276.4289584285763
SUN_PRAIRIE_50_R2,American bison,0,0,6.951597222,14,4.482593886437469,0,0
SUN_PRAIRIE_52_R1,American bison,0,0,9.691354167,9,2.5826062993881256,0,0
SUN_PRAIRIE_52_R2,American bison,0,0,34.99016204,14,22.56268328515659,0,0
SUN_PRAIRIE_53_R1,American bison,9.055522740696988,12,27.758125,13,15.433540071840607,0.06791007798108475,0.08999159508601644
SUN_PRAIRIE_53_R2,American bison,0,0,0,14,0,NA,NA
SUN_PRAIRIE_54_R1,American bison,3369.971514677194,2040,22.21520833,16,18.7102279135186,20.846512462957165,12.61936050177748
SUN_PRAIRIE_54_R2,American bison,0,0,35.27244213,14,22.744705770822552,0,0
SUN_PRAIRIE_55_R1,American bison,0,0,6.487824074,16,5.464214662503359,0,0
SUN_PRAIRIE_55_R2,American bison,0,0,4.921585648,14,3.17358285193572,0,0
SUN_PRAIRIE_56_R1,American bison,0,0,7.134722222,5,0.5868212066736611,0,0
SUN_PRAIRIE_56_R2,American bison,0,0,17.88690972,14,11.534004286724617,0,0
SUN_PRAIRIE_57_R1,American bison,0,0,13.61680556,5,1.1199637520744137,0,0
SUN_PRAIRIE_57_R2,American bison,0,0,9.658854167,14,6.228312610224654,0,0
SUN_PRAIRIE_58_R1,American bison,19.111045481393976,26,24.35534722,12,11.538398649218673,0.1917013467459201,0.2608038906216013
SUN_PRAIRIE_58_R2,American bison,0,0,4.413148148,14,2.845727431612642,0,0
