deployment_id,yday,species,overall_density_km2
SUN_PRAIRIE_106_R2,174,American bison,0
SUN_PRAIRIE_106_R2,175,American bison,0
SUN_PRAIRIE_106_R2,176,American bison,0
SUN_PRAIRIE_106_R2,177,American bison,0
SUN_PRAIRIE_106_R2,178,American bison,0
SUN_PRAIRIE_106_R2,179,American bison,0
SUN_PRAIRIE_106_R2,180,American bison,0
SUN_PRAIRIE_106_R2,181,American bison,0
SUN_PRAIRIE_106_R2,182,American bison,0
SUN_PRAIRIE_106_R2,183,American bison,0
SUN_PRAIRIE_106_R2,184,American bison,0
SUN_PRAIRIE_106_R2,185,American bison,0
SUN_PRAIRIE_106_R2,186,American bison,0
SUN_PRAIRIE_106_R2,187,American bison,0
SUN_PRAIRIE_106_R2,188,American bison,0
SUN_PRAIRIE_106_R2,189,American bison,0
SUN_PRAIRIE_106_R2,190,American bison,0
SUN_PRAIRIE_106_R2,191,American bison,0
SUN_PRAIRIE_106_R2,192,American bison,0
SUN_PRAIRIE_106_R2,193,American bison,0
SUN_PRAIRIE_106_R2,194,American bison,0
SUN_PRAIRIE_106_R2,195,American bison,0
SUN_PRAIRIE_106_R2,196,American bison,0
SUN_PRAIRIE_106_R2,197,American bison,0
SUN_PRAIRIE_106_R2,198,American bison,0
SUN_PRAIRIE_106_R2,199,American bison,0
SUN_PRAIRIE_106_R2,200,American bison,0
SUN_PRAIRIE_106_R2,201,American bison,0
SUN_PRAIRIE_106_R2,202,American bison,0
SUN_PRAIRIE_106_R2,203,American bison,0
SUN_PRAIRIE_106_R2,204,American bison,0
SUN_PRAIRIE_107_R1,142,American bison,0
SUN_PRAIRIE_107_R1,143,American bison,0
SUN_PRAIRIE_107_R1,144,American bison,0
SUN_PRAIRIE_107_R1,145,American bison,0
SUN_PRAIRIE_107_R1,146,American bison,0
SUN_PRAIRIE_107_R1,147,American bison,0
SUN_PRAIRIE_107_R1,148,American bison,0
SUN_PRAIRIE_107_R1,149,American bison,0
